0.33349,1,1099,2,8,20,178,20,178,61,74,0,0,1
0.33390,1,329,2,8,128,99,0,0,0,0,0,0,2
0.33403,1,1033,2,8,0,0,0,0,0,0,0,0,3
0.33794,2,1042,2,4,130,7,181,7,,,,,4
0.34003,1,368,2,8,0,0,0,0,0,0,0,0,5
0.34130,1,1081,2,4,67,4,171,0,,,,,6
0.34192,2,1042,2,4,128,7,183,7,,,,,7
0.34326,2,1847,2,8,18,0,227,1,194,1,194,1,8
0.34328,1,1966,2,8,187,216,43,0,23,0,239,1,9
0.34339,1,1838,2,8,68,150,130,150,163,150,6,2,10
0.34351,1,1806,2,8,22,1,41,1,83,1,11,9,11
0.34379,2,1076,2,8,116,0,1,0,103,0,1,0,12
0.34591,2,1042,2,4,129,7,183,7,,,,,13
0.34596,1,1099,2,8,20,178,20,178,61,74,0,0,14
0.34802,2,1077,2,8,37,4,156,247,226,251,136,219,15
0.34814,2,1109,2,8,38,4,154,0,35,0,63,0,16
0.34886,2,1236,2,8,229,72,59,0,118,55,1,0,17
0.34989,2,1042,2,4,129,7,182,7,,,,,18
0.35139,1,1081,2,4,77,4,187,0,,,,,19
0.35345,2,1042,2,4,32,8,29,8,,,,,20
